id,title,author_info,rating,pros,cons,Categories
652,Good Company to Work,"Apr 28, 2022 - Team Lead in Chennai",5,Good place to work with.,Pay Scale is less than other companies,Culture
653,Fast moving,"May 16, 2022 - Software Development Engineer (SDE) in Hyderābād",3,"Very fast moving, steep learning curve",Work life balance is not good.,Management
654,A great work culture,"May 1, 2022 - Customer Service Associate in Coimbatore",5,#NAME?,#NAME?,Culture
655,"V good company, can make a freshers career v quickly","May 1, 2022 - Seller Support Associate in Hyderābād",5,V good company to work with,Timings are pretty annoying some times,Culture
656,great opportunity to be part of this organization.,"May 1, 2022 - Account Health Support Specialist in Hyderābād",5,good work life balance of employee cycle,as i'm a new hire i cannot find any downsides as of now,Technology
657,Work Life balance,"May 1, 2022 - Human Resources Specialist in Hyderābād",5,Best company with work life balance,Little work pressure only in shift timings,Culture
658,Companies Review,"May 15, 2022 - Software Development Engineer (SDE) in Gurgaon, Haryana",4,Lot to learn as a fresher Work with quality minds Good salary,"At times, you need to give more than 9-10 hrs at work",Technology
659,Ring data engineering services,"May 13, 2022 - Digital Associate in Hyderābād",3,In this process there are no pros I have found thats the reason I have to left Amazon whose work culture was good,Everything in this process is disaster you need to work after shift lots of pressure to complete daily target you will get health issue.. I would request no one should join ring process or IVA,Technology
660,overall good,"May 15, 2022 - in Hyderābād",3,"Job security, Environment, Empathetic managers, No micro management","less pay, no growth, no personal development",Technology
661,good,"May 15, 2022 - Device Associate in Bangalore",3,good for freshers great to go,no technical skills required so,Management
662,good,"Apr 30, 2022 - Brand Support in New Delhi",5,good atmosphere and people to work with,no such cons that come to mind,Management
663,Company with lots of benefits,"Apr 30, 2022 - Transaction Risk Investigator in Hyderābād",5,Work with amazing people from all over the country.,Nothing except the promotion takes time.,Technology
664,Employer of choice,"Apr 30, 2022 - Senior Customer Solutions Manager in Bangalore",5,Amazon is truly the earth’s best employer,No comment at this time,Technology
665,Best place to work with great work life balance,"May 14, 2022 - Software Developer in Hyderābād",4,Great salary and essencial commodities are also free,Sometime the work gets reluctant and you feel lack of growth opportunity.,Culture
666,Associate account manager at Amazon,"May 14, 2022 - Associate Account Manager in Chennai",4,Good work culture and ways to learn different aspects,Work life balance becomes difficult,Technology
667,CS dept = a place where ROBOTS work,"May 14, 2022 - in Hyderābād",3,#NAME?,"-Contractual roles/merit basis -100+ chats daily in Indian CS -High stress,pressure and huge chat flow -So many useless training tests -Very less salary -Employee performance rating -Terrible Useless metric system -Leaves they hardly get approved, u need to apply way in advance -No career growth -No promotions/increments -IJPs are a joke -Internal Politics -Can't satisfy customer at all times -Interview process is too slow/bad HRs",Technology
668,Decent job who loves to interact with frustrated customers,"May 14, 2022 - Customer Service Associate in Noida",3,Work from Home Time to time payment,"Work pressure They expect you to sit down for 9 hours, no getting away from systems Slow growth",Technology
669,Good place to start your career,"May 14, 2022 - Customer Support Associate in Coimbatore",3,Good place to start your career.,Job is very specific and retail customer service is very stressful. No scope for promotions.,Technology
670,Great work culture at Amazon,"Apr 29, 2022 - Cloud Support Associate in Bangalore",5,Good competitive work culture Friendly and instructive colleagues,Independent expectations so need to meet the basic expectations,Culture
671,kbh,"Apr 29, 2022 - Digital Content Associate in Chennai",5,Very good work culture. I really loved it,Nothing to say as of now,Culture
672,Great Work Culture!!,"Apr 29, 2022 - Business Operations Specialist in Hyderābād",5,work culture and flexibility is amazing at amazon! new and interesting challenges at amazon gives another reason to keep building yourself,"with the increase in targets and tasks, there should have been some motivation for employees in form of gifts and benefits",Culture
673,"Great place to work, not so great for self growth","May 12, 2022 - Seller Support Associate in Bangalore",4,"The thing about Amazon is it’s a great place to work in as you’d have plenty of fun learning during the process interaction. Great benefits like medical insurance , gratuities, health checkup, Corporate discount.",When it comes to self development Amazon kinda lacks the vision or expertise. No free courses from any other site no career path demonstration (could be limited to my role not entirely sure though ). Overall it’s awesome -1.,Technology
674,Great,"May 12, 2022 - Customer Service Representative in Hyderābād",4,"Corporate culture, friendly colleagues, Great place to work","Non flexible shifts, rest all good",Culture
675,Great place to learn,"May 13, 2022 - Process Lead in Bangalore",4,Great place to start your career.,Some teams might have more work pressure,Culture
676,Good company,"May 13, 2022 - SDE1 () in Ban, Maharashtra",4,"Work culture is good ,very intelligent team",Workload is sometime very high,Culture
677,Good Company to work with and grow,"May 13, 2022 - D2AS Advanced Technician in Hyderābād",4,Good Company to work with and grow,Pressure will be there but nothing like we cant handle,Culture
678,Good company,"May 13, 2022 - ML Data Associate-1 in New Delhi",4,WFh is good and comapny culture is very cool,The process is very monotonous,Culture
679,Good,"May 13, 2022 - Process Associate in Bangalore",4,Employee friendly. Has good freedom.,No growth and low salary.,Culture
680,Average,"May 14, 2022 - ML Data Associate-1 in Chennai",2,Not many perks as provided by other MNCs,"Poor pay structure, High pressure job",Technology
681,TRON associate,"May 13, 2022 - Tron Associate in Hyderābād",3,pay is provided for OT,No work life balance in amazon,Technology
682,Company reviews,"Apr 28, 2022 - Senior Software Developer in Bangalore",5,Super career growth and skills development,No cons and disadvantages in this company,Culture
683,Transportation,"Apr 28, 2022 - Transportation in Nāgpur, Maharashtra",5,"Chance to grow if you are a fresher, learning exp is great. Hard work but pay is better compared to other company.",Work and personal life balance maybe disturbed(depends on the team.,Culture
684,I am new to Amazon,"Apr 28, 2022 - Account Specialist in Bangalore",5,"Its is such a huge organization, there is no limit for learning. There is so many things to explore. They offer competitive package, employee benefits.",I have just joined this organization.,Technology
685,A good company to work,"Apr 28, 2022 - Audit Associate in Hyderābād",5,A good company to work,Salary is less as compared to other companies,Culture
686,amazon top most company .,"Apr 28, 2022 - Investigation Specialist in Hyderābād",5,very good company to work. huge development of the employees under this organization. carrier guidance.,nothing to say it's very well guided management,Human_Resources
687,Good but not the worst,"May 12, 2022 - ML Data Associate - I in Hyderābād",4,Good pay scale Shift timings Learning new things,No work life balance Work is mostly repetative,Technology
688,Good,"May 12, 2022 - Senior Quality Service Associate in Chennai",4,Work life balance is very good,Salary for l2 and l3 are very less,Management
689,Overall a good place to work.,"May 12, 2022 - IT Support Associate in Hyderābād",4,1.Easy internal transfer (if you crack the interview) 2. Job rotations allowed.,1. Office politics. 2. Too much Favouritism.,Technology
690,it was good,"May 12, 2022 - Amazon Software Development Engineer in Bangalore",3,friendly environment and good working experience,more working hours and nothing more,Culture
691,Best company for sure ⭐️⭐️⭐️⭐️,"Apr 27, 2022 - Recruiting Coordinator in Hyderābād",5,"Perks, work culture, leave policy",Nothing for the role I am working for,Culture
692,Sales.,"Apr 27, 2022 - Sales Associate in Pune",5,"Good work culture , its the best",No negative comments as such,Culture
693,Great company to be part of,"Apr 27, 2022 - Business Intelligence Engineer in Bangalore",5,1. Good Projects 2. Great learning curve 3. Helpful co workers 4. Nice work culture 5. Good compensation,"1. Sometimes it feels too competitive env. 2. There is a ask to prove oneself frequently. Yet to discover more, as joined recently.",Culture
